Customer_ID,Customer_Name,Customer_Username,Customer_Pword,Customer_Age,Customer_Phone,Customer_Email
A00097001C4CLB27DQV4U,Linette87,Linette87A00097001C4CLB27DQV4U@gmail.com,$pbkdf2-sha256$29000$MKYUAsD4/x9jbE2J0brX2g$pP4Ypk2q.mn.yOsxASGwraf3g8g8llmZXrZCIL7JJDY,28,918789000000.0,Linette87A00097001C4CLB27DQV4U@gmail.com
A0067145DW5V5SRLSIPM,amyjoy85,amyjoy85A0067145DW5V5SRLSIPM@gmail.com,$pbkdf2-sha256$29000$q9X63/u/V.o9ByCkdC7F.A$f4pqlPaP1qG/.wFn733KWB9O/gFh9j7YMbGSAuE2XkY,26,919448000000.0,amyjoy85A0067145DW5V5SRLSIPM@gmail.com
A01788862E45STS4C2ZRQ,Julie M.,Julie M.A01788862E45STS4C2ZRQ@gmail.com,$pbkdf2-sha256$29000$DIEQ4nzvHQPAeI.REgKgNA$HJcYliO/qmEQ8rWO3aTWZ5KhZRWpAvg6YFnkjU0tb7w,31,918444000000.0,Julie M.A01788862E45STS4C2ZRQ@gmail.com
A02155413BVL8D0G7X6DN,Dinara,DinaraA02155413BVL8D0G7X6DN@gmail.com,$pbkdf2-sha256$29000$o9RaS0kJYUypVSrlfM/Z2w$KDoSGWinPT5zjEx1FeOqwheuI43oS7.vShmW4Cv7bJY,28,918441000000.0,DinaraA02155413BVL8D0G7X6DN@gmail.com
A022899328A0QROR32DCT,Rox,RoxA022899328A0QROR32DCT@gmail.com,$pbkdf2-sha256$29000$gBCCkLL2PodQyjlnbG0txQ$q4DQPjOM5bgTpKwv.JlSdLs3.HK5P2M.K4zoqOLhNm4,31,917416000000.0,RoxA022899328A0QROR32DCT@gmail.com
A02884503P7XBJGRVIVV5,Claremilia Piffer,Claremilia PifferA02884503P7XBJGRVIVV5@gmail.com,$pbkdf2-sha256$29000$TWntPaf0vjemFGLs3TuHUA$7Vz95nncHTDEFVo8MsjJuzQ24UEuPw/n3d8X6QyOydU,27,919986000000.0,Claremilia PifferA02884503P7XBJGRVIVV5@gmail.com
A04588013IUFBSU7WNPZU,Tun,TunA04588013IUFBSU7WNPZU@gmail.com,$pbkdf2-sha256$29000$bg0hJOQcQ0iJUQqBkPLeOw$KXIre0oacSLvWD8FFphxA.xrPIJbzCI2L.yLuemCKNg,17,919510000000.0,TunA04588013IUFBSU7WNPZU@gmail.com
A05676601NFE7CQK17X7U,Starr Garcia,Starr GarciaA05676601NFE7CQK17X7U@gmail.com,$pbkdf2-sha256$29000$pRSCkBLC.D9HCGGMUSol5A$qatUzNktUdJiqysbQ7vLOHjRPkNL1.Ux/IPgiVqEQXY,32,917235000000.0,Starr GarciaA05676601NFE7CQK17X7U@gmail.com
A06493912VQG7MLFQ8BMG,Tracy K,Tracy KA06493912VQG7MLFQ8BMG@gmail.com,$pbkdf2-sha256$29000$Y2wNYWzNee8dg5CSMkaodQ$Oa2CS8yPLwyEBLDsM7nGGEXsXpGPkT8/g.NCQ0/Bv4U,28,919875000000.0,Tracy KA06493912VQG7MLFQ8BMG@gmail.com
A0764543R3OVY4FERRXM,Kendra Pressley,Kendra PressleyA0764543R3OVY4FERRXM@gmail.com,$pbkdf2-sha256$29000$d44RQsg5p/T./18r5bw3Bg$GjgnEzRdsboaWIgl9QgWigdIBwislaNFGX.INkFWLo8,5,918207000000.0,Kendra PressleyA0764543R3OVY4FERRXM@gmail.com
